index,ori_filename,adv_filename,ori_recorded_label,adv_recorded_label,ori_fresh_pred,adv_fresh_pred,ori_matches_recorded,was_successful_attack,included_in_adv_accuracy,adv_accuracy_match
0,ori_0_IMAGENET_3599_DeiT_B.png,adv_0_IMAGENET_3599_DeiT_B.png,487,0,487,111,True,False,False,
1,ori_1_IMAGENET_3599_DeiT_B.png,adv_1_IMAGENET_3599_DeiT_B.png,771,0,771,111,True,False,False,
2,ori_2_IMAGENET_3599_DeiT_B.png,adv_2_IMAGENET_3599_DeiT_B.png,590,487,590,590,True,True,True,False
3,ori_3_IMAGENET_3599_DeiT_B.png,adv_3_IMAGENET_3599_DeiT_B.png,763,0,763,111,True,False,False,
4,ori_4_IMAGENET_3599_DeiT_B.png,adv_4_IMAGENET_3599_DeiT_B.png,646,727,646,727,True,True,True,True
5,ori_5_IMAGENET_3599_DeiT_B.png,adv_5_IMAGENET_3599_DeiT_B.png,666,783,666,666,True,True,True,False
6,ori_6_IMAGENET_3599_DeiT_B.png,adv_6_IMAGENET_3599_DeiT_B.png,867,914,867,867,True,True,True,False
7,ori_7_IMAGENET_3599_DeiT_B.png,adv_7_IMAGENET_3599_DeiT_B.png,771,530,771,530,True,True,True,True
8,ori_8_IMAGENET_3599_DeiT_B.png,adv_8_IMAGENET_3599_DeiT_B.png,764,413,764,413,True,True,True,True
9,ori_9_IMAGENET_3599_DeiT_B.png,adv_9_IMAGENET_3599_DeiT_B.png,487,761,487,761,True,True,True,True
10,ori_10_IMAGENET_3599_DeiT_B.png,adv_10_IMAGENET_3599_DeiT_B.png,695,527,695,527,True,True,True,True
11,ori_11_IMAGENET_3599_DeiT_B.png,adv_11_IMAGENET_3599_DeiT_B.png,413,915,413,915,True,True,True,True
12,ori_12_IMAGENET_3599_DeiT_B.png,adv_12_IMAGENET_3599_DeiT_B.png,821,0,821,111,True,False,False,
13,ori_13_IMAGENET_3599_DeiT_B.png,adv_13_IMAGENET_3599_DeiT_B.png,761,614,761,614,True,True,True,True
14,ori_14_IMAGENET_3599_DeiT_B.png,adv_14_IMAGENET_3599_DeiT_B.png,403,847,403,847,True,True,True,True
15,ori_15_IMAGENET_3599_DeiT_B.png,adv_15_IMAGENET_3599_DeiT_B.png,888,821,888,718,True,True,True,False
16,ori_16_IMAGENET_3599_DeiT_B.png,adv_16_IMAGENET_3599_DeiT_B.png,465,0,465,111,True,False,False,
17,ori_17_IMAGENET_3599_DeiT_B.png,adv_17_IMAGENET_3599_DeiT_B.png,471,856,471,471,True,True,True,False
18,ori_18_IMAGENET_3599_DeiT_B.png,adv_18_IMAGENET_3599_DeiT_B.png,510,128,510,128,True,True,True,True
19,ori_19_IMAGENET_3599_DeiT_B.png,adv_19_IMAGENET_3599_DeiT_B.png,734,906,734,734,True,True,True,False
20,ori_20_IMAGENET_3599_DeiT_B.png,adv_20_IMAGENET_3599_DeiT_B.png,414,636,414,414,True,True,True,False
21,ori_21_IMAGENET_3599_DeiT_B.png,adv_21_IMAGENET_3599_DeiT_B.png,744,657,744,657,True,True,True,True
22,ori_22_IMAGENET_3599_DeiT_B.png,adv_22_IMAGENET_3599_DeiT_B.png,764,558,764,558,True,True,True,True
23,ori_23_IMAGENET_3599_DeiT_B.png,adv_23_IMAGENET_3599_DeiT_B.png,758,478,758,478,True,True,True,True
24,ori_24_IMAGENET_3599_DeiT_B.png,adv_24_IMAGENET_3599_DeiT_B.png,888,556,888,556,True,True,True,True
25,ori_25_IMAGENET_3599_DeiT_B.png,adv_25_IMAGENET_3599_DeiT_B.png,540,0,540,111,True,False,False,
26,ori_26_IMAGENET_3599_DeiT_B.png,adv_26_IMAGENET_3599_DeiT_B.png,801,973,801,973,True,True,True,True
27,ori_27_IMAGENET_3599_DeiT_B.png,adv_27_IMAGENET_3599_DeiT_B.png,744,559,744,559,True,True,True,True
28,ori_28_IMAGENET_3599_DeiT_B.png,adv_28_IMAGENET_3599_DeiT_B.png,521,635,521,635,True,True,True,True
29,ori_29_IMAGENET_3599_DeiT_B.png,adv_29_IMAGENET_3599_DeiT_B.png,830,785,830,785,True,True,True,True
30,ori_30_IMAGENET_3599_DeiT_B.png,adv_30_IMAGENET_3599_DeiT_B.png,820,569,820,569,True,True,True,True
31,ori_31_IMAGENET_3599_DeiT_B.png,adv_31_IMAGENET_3599_DeiT_B.png,812,530,812,812,True,True,True,False
32,ori_32_IMAGENET_3599_DeiT_B.png,adv_32_IMAGENET_3599_DeiT_B.png,600,517,600,517,True,True,True,True
33,ori_33_IMAGENET_3599_DeiT_B.png,adv_33_IMAGENET_3599_DeiT_B.png,833,111,833,111,True,True,True,True
34,ori_34_IMAGENET_3599_DeiT_B.png,adv_34_IMAGENET_3599_DeiT_B.png,471,866,471,866,True,True,True,True
35,ori_35_IMAGENET_3599_DeiT_B.png,adv_35_IMAGENET_3599_DeiT_B.png,744,657,744,657,True,True,True,True
36,ori_36_IMAGENET_3599_DeiT_B.png,adv_36_IMAGENET_3599_DeiT_B.png,833,147,833,147,True,True,True,True
37,ori_37_IMAGENET_3599_DeiT_B.png,adv_37_IMAGENET_3599_DeiT_B.png,404,148,404,148,True,True,True,True
38,ori_38_IMAGENET_3599_DeiT_B.png,adv_38_IMAGENET_3599_DeiT_B.png,600,421,600,600,True,True,True,False
39,ori_39_IMAGENET_3599_DeiT_B.png,adv_39_IMAGENET_3599_DeiT_B.png,628,694,628,694,True,True,True,True
40,ori_40_IMAGENET_3599_DeiT_B.png,adv_40_IMAGENET_3599_DeiT_B.png,657,744,657,657,True,True,True,False
41,ori_41_IMAGENET_3599_DeiT_B.png,adv_41_IMAGENET_3599_DeiT_B.png,764,865,764,865,True,True,True,True
42,ori_42_IMAGENET_3599_DeiT_B.png,adv_42_IMAGENET_3599_DeiT_B.png,521,633,521,633,True,True,True,True
43,ori_43_IMAGENET_3599_DeiT_B.png,adv_43_IMAGENET_3599_DeiT_B.png,732,0,732,111,True,False,False,
44,ori_44_IMAGENET_3599_DeiT_B.png,adv_44_IMAGENET_3599_DeiT_B.png,867,407,867,407,True,True,True,True
45,ori_45_IMAGENET_3599_DeiT_B.png,adv_45_IMAGENET_3599_DeiT_B.png,413,971,413,413,True,True,True,False
46,ori_46_IMAGENET_3599_DeiT_B.png,adv_46_IMAGENET_3599_DeiT_B.png,590,487,590,487,True,True,True,True
47,ori_47_IMAGENET_3599_DeiT_B.png,adv_47_IMAGENET_3599_DeiT_B.png,581,0,581,111,True,False,False,
48,ori_48_IMAGENET_3599_DeiT_B.png,adv_48_IMAGENET_3599_DeiT_B.png,628,148,628,148,True,True,True,True
