index,filename,asr,l2_distortion,linf_distortion,lpips,queries,ssim,psnr,orig_class,adv_class,total_time_seconds
0,ILSVRC2012_val_00000089.JPEG,True,25.00399398803711,0.9196462631225586,0.1670096516609192,8752,0.84020114,23.654990781196833,487,761,97.8
1,ILSVRC2012_val_00000118.JPEG,True,11.095858573913574,0.23744305968284607,0.03808971121907234,9788,0.97109175,30.707639123686562,646,506,97.8
2,ILSVRC2012_val_00000143.JPEG,True,9.037492752075195,0.37081530690193176,0.10155734419822693,9778,0.92335385,32.49132794266074,771,549,97.8
3,ILSVRC2012_val_00000149.JPEG,True,19.300867080688477,0.45254427194595337,0.22168174386024475,10175,0.7214145,25.897303836277153,590,800,97.8
4,ILSVRC2012_val_00000158.JPEG,True,17.323335647583008,0.706290602684021,0.1607746183872223,10094,0.8904903,26.843436026395224,763,730,97.8
5,ILSVRC2012_val_00000160.JPEG,True,12.617636680603027,0.3799993693828583,0.11031187325716019,8768,0.9466737,29.5866772158149,646,912,97.8
6,ILSVRC2012_val_00000168.JPEG,True,1.213559865951538,0.04332497715950012,0.0008094488293863833,10058,0.9969344,49.92462065465159,666,659,97.8
7,ILSVRC2012_val_00000187.JPEG,True,7.070523738861084,0.26952528953552246,0.03351103514432907,8902,0.92822534,34.61611893216669,867,864,97.8
8,ILSVRC2012_val_00000194.JPEG,True,6.296241283416748,0.19348078966140747,0.04341951757669449,10205,0.95625776,35.62447043805119,771,707,97.8
TOTAL,,9/9,12.1066,0.397,0.0975,9613,0.9083,32.15,,,97.8
